
***********START OF SESSION**********


Bandwidth: 5257.6 KB/s

Bandwidth: 5332.8 KB/s

Bandwidth: 5356.8 KB/s

Bandwidth: 5322.8 KB/s

Bandwidth: 5173.4 KB/s

Bandwidth: 2156.1 KB/s

Bandwidth: 3685.8 KB/s

Bandwidth: 3940.7 KB/s

Bandwidth: 4283.5 KB/s

Bandwidth: 4301.7 KB/s

Bandwidth: 4262.3 KB/s

Bandwidth: 4259.7 KB/s

Bandwidth: 4751.5 KB/s

Bandwidth: 4555.9 KB/s

Bandwidth: 4772.8 KB/s

Bandwidth: 4789.3 KB/s

Bandwidth: 4760.5 KB/s

Bandwidth: 4743.8 KB/s

Bandwidth: 4593.9 KB/s

Bandwidth: 4734.7 KB/s

Bandwidth: 4532.5 KB/s

Bandwidth: 4725.9 KB/s

Bandwidth: 4681.6 KB/s

Bandwidth: 4761.8 KB/s

Bandwidth: 4642.7 KB/s

Bandwidth: 4789.3 KB/s

Bandwidth: 4708.9 KB/s

Bandwidth: 4193.3 KB/s

Bandwidth: 4858.8 KB/s

Bandwidth: 4562.7 KB/s

Bandwidth: 4539.6 KB/s

Bandwidth: 4746.5 KB/s

Bandwidth: 4040.2 KB/s

Bandwidth: 4070.3 KB/s

Bandwidth: 4109.2 KB/s

Bandwidth: 4223.7 KB/s

Bandwidth: 4474.1 KB/s
Final total: 171359.0 KB Final median 4509.4 KB/s
***************END OF SESSION***********
***********START OF SESSION**********


Bandwidth: 4560.2 KB/s

Bandwidth: 4760.6 KB/s

Bandwidth: 4869.3 KB/s

Bandwidth: 5004.9 KB/s

Bandwidth: 4417.1 KB/s

Bandwidth: 1901.1 KB/s

Bandwidth: 3352.3 KB/s

Bandwidth: 3736.5 KB/s

Bandwidth: 3716.2 KB/s

Bandwidth: 3761.2 KB/s

Bandwidth: 3757.9 KB/s

Bandwidth: 3726.9 KB/s

Bandwidth: 4070.3 KB/s

Bandwidth: 3969.8 KB/s

Bandwidth: 3991.1 KB/s

Bandwidth: 4393.2 KB/s

Bandwidth: 4203.3 KB/s

Bandwidth: 4201.7 KB/s

Bandwidth: 3802.4 KB/s

Bandwidth: 4331.0 KB/s

Bandwidth: 3934.6 KB/s

Bandwidth: 3975.4 KB/s

Bandwidth: 4305.1 KB/s

Bandwidth: 3873.6 KB/s

Bandwidth: 4121.3 KB/s

Bandwidth: 4306.1 KB/s

Bandwidth: 3970.7 KB/s

Bandwidth: 3825.0 KB/s

Bandwidth: 4093.8 KB/s

Bandwidth: 4106.2 KB/s

Bandwidth: 4154.5 KB/s

Bandwidth: 4084.0 KB/s

Bandwidth: 3651.4 KB/s

Bandwidth: 3721.9 KB/s

Bandwidth: 3902.3 KB/s

Bandwidth: 3517.3 KB/s

Bandwidth: 4097.2 KB/s

Bandwidth: 3843.5 KB/s

Bandwidth: 3786.7 KB/s

Bandwidth: 3624.6 KB/s

Bandwidth: 4189.6 KB/s

Bandwidth: 4003.1 KB/s

Bandwidth: 3331.9 KB/s

Bandwidth: 3449.1 KB/s
Final total: 178033.0 KB Final median 3870.3 KB/s
***************END OF SESSION***********
***********START OF SESSION**********


Bandwidth: 560.0 KB/s

Bandwidth: 551.1 KB/s

