
***********START OF SESSION**********


Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s

Bandwidth: 0.0 KB/s
Final total: 0.0 KB Final median 0.0 KB/s
***************END OF SESSION***********
***********START OF SESSION**********


Bandwidth: 418.6 KB/s

Bandwidth: 418.6 KB/s

Bandwidth: 418.6 KB/s

Bandwidth: 407.0 KB/s

Bandwidth: 378.4 KB/s

Bandwidth: 164.1 KB/s

Bandwidth: 297.5 KB/s

Bandwidth: 319.9 KB/s

Bandwidth: 330.0 KB/s

Bandwidth: 334.6 KB/s

Bandwidth: 327.2 KB/s

Bandwidth: 321.1 KB/s

Bandwidth: 345.4 KB/s

Bandwidth: 341.9 KB/s

Bandwidth: 346.3 KB/s

Bandwidth: 355.5 KB/s

Bandwidth: 344.7 KB/s

Bandwidth: 345.2 KB/s

Bandwidth: 355.1 KB/s

Bandwidth: 331.1 KB/s

Bandwidth: 344.3 KB/s

Bandwidth: 332.3 KB/s

Bandwidth: 357.3 KB/s

Bandwidth: 356.2 KB/s

Bandwidth: 344.0 KB/s

Bandwidth: 338.8 KB/s

Bandwidth: 313.9 KB/s

Bandwidth: 325.4 KB/s

Bandwidth: 357.9 KB/s

Bandwidth: 343.7 KB/s

Bandwidth: 360.2 KB/s

Bandwidth: 351.5 KB/s

Bandwidth: 318.0 KB/s

Bandwidth: 328.5 KB/s

Bandwidth: 319.1 KB/s
Final total: 12272.0 KB Final median 340.9 KB/s
***************END OF SESSION***********
***********START OF SESSION**********


Bandwidth: 1110.3 KB/s

Bandwidth: 1193.2 KB/s

Bandwidth: 1176.6 KB/s

Bandwidth: 1193.2 KB/s

Bandwidth: 1113.8 KB/s

Bandwidth: 436.0 KB/s

Bandwidth: 792.5 KB/s

Bandwidth: 955.9 KB/s

Bandwidth: 1039.4 KB/s

Bandwidth: 1049.9 KB/s

Bandwidth: 1021.2 KB/s

Bandwidth: 1112.9 KB/s

Bandwidth: 1008.3 KB/s

Bandwidth: 968.1 KB/s

Bandwidth: 1028.3 KB/s

Bandwidth: 917.6 KB/s

Bandwidth: 1015.9 KB/s

Bandwidth: 1031.8 KB/s

Bandwidth: 1002.3 KB/s

Bandwidth: 1038.3 KB/s

Bandwidth: 1032.7 KB/s

Bandwidth: 881.7 KB/s

Bandwidth: 1037.2 KB/s

Bandwidth: 1033.6 KB/s
Final total: 25038.8 KB Final median 1001.6 KB/s
***************END OF SESSION***********
***********START OF SESSION**********


Bandwidth: 1160.1 KB/s

Bandwidth: 1176.6 KB/s

Bandwidth: 1176.6 KB/s

Bandwidth: 1160.1 KB/s

Bandwidth: 1097.0 KB/s

Bandwidth: 452.9 KB/s

Bandwidth: 792.5 KB/s

Bandwidth: 971.5 KB/s

Bandwidth: 1037.8 KB/s

Bandwidth: 1035.9 KB/s

Bandwidth: 1036.9 KB/s

Bandwidth: 1097.2 KB/s

Bandwidth: 1008.3 KB/s

Bandwidth: 1030.7 KB/s

Bandwidth: 1072.8 KB/s

Bandwidth: 945.5 KB/s

Bandwidth: 1003.3 KB/s

Bandwidth: 1069.1 KB/s

Bandwidth: 1016.0 KB/s

Bandwidth: 1062.3 KB/s

Bandwidth: 967.2 KB/s

Bandwidth: 917.3 KB/s

Bandwidth: 1070.7 KB/s
Final total: 23744.7 KB Final median 1032.4 KB/s
***************END OF SESSION***********
***********START OF SESSION**********


Bandwidth: 407.0 KB/s

Bandwidth: 418.6 KB/s

Bandwidth: 412.8 KB/s

Bandwidth: 401.2 KB/s

Bandwidth: 390.1 KB/s

Bandwidth: 155.9 KB/s

Bandwidth: 290.2 KB/s

Bandwidth: 319.4 KB/s

Bandwidth: 329.6 KB/s

Bandwidth: 331.0 KB/s

Bandwidth: 331.3 KB/s

Bandwidth: 320.6 KB/s

Bandwidth: 344.6 KB/s

Bandwidth: 342.3 KB/s

Bandwidth: 340.8 KB/s
Final total: 5179.2 KB Final median 345.3 KB/s
***************END OF SESSION***********
